playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
grandcu01,2004,1,DET,AL,9,25,2,6,1,1,0,0,0,0,3,8,0,0,0,0,1
greinza01,2004,1,KCA,AL,24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
guzmafr01,2004,1,SDN,NL,20,76,8,16,3,0,0,5,5,2,3,13,0,1,0,0,0
hairssc01,2004,1,ARI,NL,101,339,39,84,15,6,13,29,3,3,21,88,0,1,2,1,4
halsebr01,2004,1,NYA,AL,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
harderi01,2004,1,OAK,AL,31,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
harenda01,2004,1,SLN,NL,14,12,1,0,0,0,0,0,0,0,0,6,0,0,2,0,1
harribr01,2004,1,CHN,NL,3,9,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0
harribr01,2004,2,MON,NL,20,50,4,8,2,0,1,2,0,0,2,11,0,1,0,0,0
hartco01,2004,1,MIL,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hendrbe01,2004,1,MIL,NL,10,16,0,2,0,0,0,0,0,0,0,9,0,0,1,0,0
hennebr01,2004,1,SFN,NL,7,13,1,3,0,0,0,2,0,0,1,4,0,0,0,1,0
hernaca03,2004,1,HOU,NL,9,12,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0
hillsh01,2004,1,MON,NL,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
hollima01,2004,1,COL,NL,121,400,65,116,31,3,14,57,3,3,31,86,0,6,1,1,9
infanom01,2004,1,DET,AL,142,503,69,133,27,9,16,55,13,7,40,112,3,1,7,5,4
izturce01,2004,1,LAN,NL,159,670,90,193,32,9,4,62,25,9,43,70,2,0,12,3,6
izturma01,2004,1,MON,NL,32,107,10,22,5,2,1,4,4,0,10,20,1,2,2,0,1
jacksed01,2004,1,LAN,NL,8,4,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0
kazmisc01,2004,1,TBA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kearnau01,2004,1,CIN,NL,64,217,28,50,10,2,9,32,2,1,28,71,0,1,0,0,8
kensilo01,2004,1,FLO,NL,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
keppije01,2004,1,NYN,NL,33,116,9,33,2,0,3,9,2,1,6,7,0,0,0,1,6
knoedju01,2004,1,SFN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotchca01,2004,1,ANA,AL,38,116,7,26,6,0,0,15,3,0,7,11,3,4,0,1,3
kroegjo01,2004,1,ARI,NL,22,54,5,9,3,0,0,2,0,1,1,21,0,0,0,0,2
krynzda01,2004,1,MIL,NL,16,41,6,9,1,0,0,3,0,0,3,15,0,3,0,0,0
kubelja01,2004,1,MIN,AL,23,60,10,18,2,0,2,7,1,1,6,9,0,0,0,1,0
leagubr01,2004,1,TOR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ledezwi01,2004,1,DET,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindeto01,2004,1,SFN,NL,16,32,6,5,1,0,0,1,0,0,5,7,0,1,2,0,0
liriape01,2004,1,MIL,NL,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loeka01,2004,1,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopezfe01,2004,1,CIN,NL,79,264,35,64,18,2,7,31,1,1,25,81,0,3,2,1,1
lopezjo01,2004,1,SEA,AL,57,207,28,48,13,0,5,22,0,1,8,31,0,1,1,1,1
lowryno01,2004,1,SFN,NL,16,33,2,6,2,0,0,0,0,0,0,10,0,0,3,0,1
lunahe01,2004,1,SLN,NL,83,173,25,43,7,2,3,22,6,3,13,37,0,2,1,3,2
machaan01,2004,1,CIN,NL,17,56,6,15,5,1,0,4,3,1,10,26,2,0,0,0,0
madsory01,2004,1,PHI,NL,52,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
mainejo01,2004,1,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
majewga01,2004,1,MON,NL,16,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
majewva01,2004,1,BAL,AL,9,13,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
mauerjo01,2004,1,MIN,AL,35,107,18,33,8,1,6,17,1,0,11,14,0,1,0,3,1
mcpheda01,2004,1,ANA,AL,16,40,5,9,1,0,3,6,1,0,3,17,0,0,0,0,0
meyerda02,2004,1,ATL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitrese01,2004,1,CHN,NL,13,15,0,1,1,0,0,0,0,0,1,8,0,0,3,0,0
molinya01,2004,1,SLN,NL,51,135,12,36,6,0,2,15,0,1,13,20,3,0,2,1,4
morneju01,2004,1,MIN,AL,74,280,39,76,17,0,19,58,0,0,28,54,8,2,0,2,4
munozar01,2004,1,CHA,AL,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphdo01,2004,1,KCA,AL,7,27,1,5,3,0,0,3,1,0,0,7,0,0,0,0,1
myersbr01,2004,1,PHI,NL,32,51,6,10,4,0,0,1,0,0,2,17,0,0,8,0,2
nageocl01,2004,1,SEA,AL,12,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
narrosa02,2004,1,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navardi01,2004,1,NYA,AL,5,7,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1
nivarra01,2004,1,TEX,AL,7,18,3,4,0,0,0,4,1,1,0,7,0,0,2,1,0
nixla01,2004,1,TEX,AL,115,371,58,92,20,4,14,46,1,1,23,113,4,2,1,3,6
olmedra01,2004,1,CIN,NL,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
peavyja01,2004,1,SDN,NL,27,59,5,10,1,0,0,3,0,0,4,17,0,0,5,0,1
penawi01,2004,1,CIN,NL,110,336,45,87,10,1,26,66,5,2,22,108,1,6,0,0,7
peraljh01,2004,1,CLE,AL,8,25,2,6,1,0,0,2,0,1,3,6,0,0,0,0,0
perezan01,2004,1,LAN,NL,13,13,5,3,1,0,0,0,1,0,0,5,0,1,0,0,0
perezol01,2004,1,PIT,NL,31,58,2,11,0,0,0,0,0,0,4,22,0,0,10,0,0
phillbr01,2004,1,CLE,AL,6,22,1,4,2,0,0,1,0,2,2,5,0,0,0,0,1
priorma01,2004,1,CHN,NL,21,36,5,5,0,0,0,0,0,0,2,20,0,0,6,0,0
pujolal01,2004,1,SLN,NL,154,592,133,196,51,2,46,123,5,5,84,52,12,7,0,9,21
quirogu01,2004,1,TOR,AL,17,52,2,11,2,0,0,6,1,0,2,8,0,2,0,1,1
raburry01,2004,1,DET,AL,12,29,4,4,1,0,0,1,1,0,2,15,0,0,0,0,0
ramirel01,2004,1,PHI,NL,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
reedje03,2004,1,SEA,AL,18,58,11,23,4,0,0,5,3,1,7,4,1,1,0,0,2
reyesjo01,2004,1,NYN,NL,53,220,33,56,16,2,2,14,19,2,5,31,0,0,4,0,1
riosal01,2004,1,TOR,AL,111,426,55,122,24,7,1,28,15,3,31,84,0,2,1,0,14
riverre01,2004,1,SEA,AL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rodried03,2004,1,BAL,AL,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rodrifr03,2004,1,ANA,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sabatcc01,2004,1,CLE,AL,30,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
