yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2004,CHN,NL,harribr01,3,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
2004,CHN,NL,mitrese01,13,9,13,12,12,0,0,0,0,0,0,0,0,0,0,0,1
2004,CHN,NL,priorma01,21,20,20,21,21,0,0,0,0,0,0,0,0,0,0,0,0
2004,CHN,NL,zambrca01,31,30,30,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2004,CIN,NL,bongju01,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2004,CIN,NL,kearnau01,64,59,64,60,0,0,0,0,0,0,0,1,60,60,0,4,1
2004,CIN,NL,lopezfe01,79,65,79,75,0,0,0,2,24,51,0,0,0,0,0,2,4
2004,CIN,NL,machaan01,17,16,17,17,0,0,0,0,0,17,0,0,0,0,0,0,0
2004,CIN,NL,olmedra01,8,0,8,7,0,0,0,0,0,7,0,0,0,0,0,1,0
2004,CIN,NL,penawi01,110,85,110,91,0,0,0,0,0,0,1,46,51,91,0,21,2
2004,CIN,NL,wagnery01,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0
2004,CLE,AL,cabrefe01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
2004,CLE,AL,crucefr01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
2004,CLE,AL,davisja02,26,2,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0
2004,CLE,AL,peraljh01,8,7,8,8,0,0,0,0,2,7,0,0,0,0,0,0,0
2004,CLE,AL,phillbr01,6,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0
2004,CLE,AL,sabatcc01,30,1,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2004,CLE,AL,sizemgr01,43,38,43,42,0,0,0,0,0,0,0,42,0,42,0,1,1
2004,CLE,AL,tadanka01,14,1,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2004,COL,NL,clossjd01,36,29,36,32,0,32,0,0,0,0,0,0,0,0,0,6,0
2004,COL,NL,francje01,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2004,COL,NL,hollima01,121,109,121,115,0,0,0,0,0,0,115,0,0,115,0,10,0
2004,COL,NL,tsaoch01,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2004,DET,AL,bondeje01,33,3,3,33,33,0,0,0,0,0,0,0,0,0,0,0,0
