playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
garzama01,2008,ALDS2,TBA,AL,0,1,1,1,0,0,0,18,7,5,0,4,4,0.3,7.5,0,1,0,0,28,0,5,0,1,1
howeljp01,2008,ALDS2,TBA,AL,0,0,3,0,0,0,0,13,2,0,0,0,6,0.13,0,0,0,0,0,15,0,0,0,0,0
kazmisc01,2008,ALDS2,TBA,AL,1,0,1,1,0,0,0,16,8,2,0,2,4,0.36,3.38,0,0,1,0,27,0,2,1,1,0
shielja02,2008,ALDS2,TBA,AL,1,0,1,1,0,0,0,19,6,3,1,1,4,0.26,4.26,0,0,1,0,26,0,3,1,0,0
sonnaan01,2008,ALDS2,TBA,AL,1,0,1,1,0,0,0,17,3,2,2,1,4,0.15,3.18,0,0,0,0,21,0,2,0,0,0
billich01,2008,NLCS,LAN,NL,0,2,2,2,0,0,0,15,12,10,1,7,9,0.46,18,2,1,0,0,33,0,11,0,0,1
broxtjo01,2008,NLCS,LAN,NL,0,0,2,0,0,0,0,7,3,1,1,1,2,0.33,3.86,0,0,0,0,10,2,1,0,0,0
kershcl01,2008,NLCS,LAN,NL,0,0,2,0,0,0,0,6,1,1,0,2,1,0.16,4.5,0,0,0,0,9,0,1,1,0,0
kuoho01,2008,NLCS,LAN,NL,0,0,3,0,0,0,0,9,2,1,0,0,3,0.2,3,0,0,0,0,10,2,1,0,0,1
mcdonja03,2008,NLCS,LAN,NL,0,0,2,0,0,0,0,16,3,0,0,2,7,0.15,0,0,0,0,0,21,0,0,0,0,0
wadeco01,2008,NLCS,LAN,NL,0,1,4,0,0,0,0,11,3,2,1,0,2,0.21,4.91,0,0,0,0,14,1,2,0,0,0
blantjo01,2008,NLCS,PHI,NL,0,0,1,1,0,0,0,15,7,3,0,4,4,0.35,5.4,2,0,0,0,24,0,3,0,0,1
hamelco01,2008,NLCS,PHI,NL,2,0,2,2,0,0,0,42,11,3,1,5,13,0.22,1.93,0,0,0,0,55,0,3,0,1,3
happja01,2008,NLCS,PHI,NL,0,0,1,0,0,0,0,9,4,1,0,2,2,0.36,3,0,0,0,0,13,0,1,0,0,0
madsory01,2008,NLCS,PHI,NL,1,0,4,0,0,0,0,15,4,0,0,1,4,0.23,0,0,0,0,0,19,0,0,1,0,0
myersbr01,2008,NLCS,PHI,NL,1,0,1,1,0,0,0,15,6,5,1,4,6,0.27,9,1,1,0,0,26,0,5,0,0,1
