playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
buckjo01,2004,1,KCA,AL,C,68,,1725,376,14,3,4,7,,30,14,
burkech01,2004,1,HOU,NL,2B,7,,78,7,15,0,3,,,,,
burnese01,2004,1,PIT,NL,P,13,,216,4,17,1,1,,,,,
burrose01,2004,1,SDN,NL,3B,125,,3180,100,209,14,25,,,,,
cabreda01,2004,1,BAL,AL,P,28,,444,9,6,1,0,,,,,
cabrefe01,2004,1,CLE,AL,P,4,,15,1,0,0,0,,,,,
cabremi01,2004,1,FLO,NL,LF,59,,,,,,,,,,,
cabremi01,2004,1,FLO,NL,OF,158,,4080,262,13,9,1,,,,,
cabremi01,2004,1,FLO,NL,RF,100,,,,,,,,,,,
cantujo01,2004,1,TBA,AL,2B,33,,822,48,85,5,19,,,,,
cantujo01,2004,1,TBA,AL,3B,11,,282,9,26,3,1,,,,,
cantujo01,2004,1,TBA,AL,SS,1,,21,2,2,0,0,,,,,
capeljo01,2004,1,ATL,NL,P,3,,24,0,0,0,0,,,,,
castijo02,2004,1,PIT,NL,2B,123,,2853,230,301,11,81,,,,,
castijo02,2004,1,PIT,NL,SS,2,,6,0,0,0,0,,,,,
chacigu01,2004,1,TOR,AL,P,2,,42,1,1,0,0,,,,,
clossjd01,2004,1,COL,NL,C,32,,777,195,17,3,4,6,,19,9,
corcoro01,2004,1,MON,NL,P,5,,15,0,0,0,0,,,,,
cordech01,2004,1,MON,NL,P,69,,249,3,5,0,1,,,,,
cormila01,2004,1,ARI,NL,P,17,,135,1,4,0,0,,,,,
correke01,2004,1,SFN,NL,P,12,,57,2,1,0,0,,,,,
cottsne01,2004,1,CHA,AL,P,56,,195,1,8,1,1,,,,,
crainje01,2004,1,MIN,AL,P,22,,81,2,3,1,1,,,,,
crawfca02,2004,1,TBA,AL,CF,30,,,,,,,,,,,
crawfca02,2004,1,TBA,AL,LF,122,,,,,,,,,,,
crawfca02,2004,1,TBA,AL,OF,145,,3705,350,5,2,1,,,,,
crosbbo01,2004,1,OAK,AL,SS,151,,4068,241,505,19,107,,,,,
crucefr01,2004,1,CLE,AL,P,2,,24,0,0,0,0,,,,,
daiglca01,2004,1,ARI,NL,P,10,,147,5,6,0,0,,,,,
davisja02,2004,1,CLE,AL,P,26,,342,10,21,3,0,,,,,
delarjo01,2004,1,MIL,NL,P,5,,69,2,2,1,0,,,,,
diazfe01,2004,1,CHA,AL,P,18,,147,2,4,0,0,,,,,
diazvi01,2004,1,NYN,NL,OF,14,,324,29,0,2,0,,,,,
diazvi01,2004,1,NYN,NL,RF,14,,,,,,,,,,,
dominju01,2004,1,TEX,AL,P,4,,69,0,3,0,0,,,,,
durbijd01,2004,1,MIN,AL,P,4,,21,0,2,0,0,,,,,
floydga01,2004,1,PHI,NL,P,6,,84,1,3,0,0,,,,,
foppeje01,2004,1,SFN,NL,P,1,,3,0,0,0,0,,,,,
francje01,2004,1,COL,NL,P,7,,111,2,6,0,1,,,,,
garcida03,2004,1,NYN,NL,2B,44,,1023,97,91,6,19,,,,,
garcija01,2004,1,OAK,AL,P,4,,18,1,2,0,0,,,,,
gathrjo01,2004,1,TBA,AL,CF,11,,,,,,,,,,,
gathrjo01,2004,1,TBA,AL,LF,4,,,,,,,,,,,
gathrjo01,2004,1,TBA,AL,OF,16,,378,30,0,0,0,,,,,
gathrjo01,2004,1,TBA,AL,RF,1,,,,,,,,,,,
gaudich01,2004,1,TBA,AL,P,26,,129,1,5,1,0,,,,,
germafr01,2004,1,DET,AL,P,16,,45,2,0,1,0,,,,,
germaju01,2004,1,SDN,NL,P,7,,63,1,3,0,0,,,,,
gettiby01,2004,1,KCA,AL,LF,11,,,,,,,,,,,
gettiby01,2004,1,KCA,AL,OF,21,,408,38,2,3,1,,,,,
gettiby01,2004,1,KCA,AL,RF,10,,,,,,,,,,,
gilje01,2004,1,ARI,NL,SS,28,,636,34,73,5,18,,,,,
gobblji01,2004,1,KCA,AL,P,25,,444,8,10,3,0,,,,,
gonzaad01,2004,1,TEX,AL,1B,11,,267,94,6,1,13,,,,,
gonzaed01,2004,1,ARI,NL,P,10,,138,0,7,0,2,,,,,
goslimi01,2004,1,ARI,NL,P,6,,75,2,1,1,0,,,,,
gotayru01,2004,1,KCA,AL,2B,42,,1104,78,97,3,29,,,,,
grandcu01,2004,1,DET,AL,CF,8,,,,,,,,,,,
grandcu01,2004,1,DET,AL,OF,8,,183,16,1,0,0,,,,,
greinza01,2004,1,KCA,AL,P,24,,435,13,15,0,1,,,,,
guzmafr01,2004,1,SDN,NL,CF,17,,,,,,,,,,,
guzmafr01,2004,1,SDN,NL,OF,17,,417,46,2,2,0,,,,,
hairssc01,2004,1,ARI,NL,2B,85,,2112,174,207,11,47,,,,,
hairssc01,2004,1,ARI,NL,LF,2,,,,,,,,,,,
hairssc01,2004,1,ARI,NL,OF,3,,21,0,0,0,0,,,,,
hairssc01,2004,1,ARI,NL,RF,2,,,,,,,,,,,
halsebr01,2004,1,NYA,AL,P,8,,96,0,3,1,0,,,,,
harderi01,2004,1,OAK,AL,P,31,,570,15,18,1,2,,,,,
harenda01,2004,1,SLN,NL,P,14,,138,2,7,1,1,,,,,
harribr01,2004,2,MON,NL,2B,11,,246,15,20,1,3,,,,,
harribr01,2004,1,CHN,NL,3B,3,,66,4,4,1,0,,,,,
harribr01,2004,2,MON,NL,3B,4,,75,2,3,1,0,,,,,
hendrbe01,2004,1,MIL,NL,P,10,,138,5,5,0,0,,,,,
hennebr01,2004,1,SFN,NL,P,7,,102,3,8,0,0,,,,,
hernaca03,2004,1,HOU,NL,P,9,,126,4,6,0,0,,,,,
hillsh01,2004,1,MON,NL,P,3,,27,0,0,0,0,,,,,
hollima01,2004,1,COL,NL,LF,115,,,,,,,,,,,
hollima01,2004,1,COL,NL,OF,115,,2751,177,4,7,1,,,,,
infanom01,2004,1,DET,AL,2B,105,,2616,204,281,12,73,,,,,
infanom01,2004,1,DET,AL,3B,10,,87,2,8,0,2,,,,,
infanom01,2004,1,DET,AL,CF,5,,,,,,,,,,,
infanom01,2004,1,DET,AL,OF,5,,96,10,0,0,0,,,,,
infanom01,2004,1,DET,AL,SS,23,,567,28,67,4,11,,,,,
izturce01,2004,1,LAN,NL,SS,159,,4158,234,430,10,96,,,,,
izturma01,2004,1,MON,NL,2B,10,,264,18,25,1,6,,,,,
izturma01,2004,1,MON,NL,SS,23,,561,33,71,7,15,,,,,
jacksed01,2004,1,LAN,NL,P,8,,75,2,6,0,1,,,,,
kazmisc01,2004,1,TBA,AL,P,8,,99,2,3,1,0,,,,,
kearnau01,2004,1,CIN,NL,CF,1,,,,,,,,,,,
kearnau01,2004,1,CIN,NL,OF,60,,1530,118,1,3,0,,,,,
kearnau01,2004,1,CIN,NL,RF,60,,,,,,,,,,,
kensilo01,2004,1,FLO,NL,P,5,,42,0,1,0,0,,,,,
keppije01,2004,1,NYN,NL,2B,32,,774,61,86,2,20,,,,,
knoedju01,2004,1,SFN,NL,C,1,,6,2,0,0,0,0,,0,0,
kotchca01,2004,1,ANA,AL,1B,34,,810,231,15,3,17,,,,,
kroegjo01,2004,1,ARI,NL,CF,2,,,,,,,,,,,
