playerID,schoolID,yearID
gardnbr01,charleston,2003
gardnbr01,charleston,2004
gardnbr01,charleston,2005
garkory01,stanford,2000
garkory01,stanford,2001
garkory01,stanford,2002
garkory01,stanford,2003
garzama01,fresnost,2003
garzama01,fresnost,2004
garzama01,fresnost,2005
gastjo01,floridast,2008
gastjo01,floridast,2009
gastjo01,floridast,2010
gattiev01,txutper,2010
gaubjo01,minnesota,2004
gaubjo01,minnesota,2005
gaubjo01,minnesota,2006
gausmke01,lsu,2011
gausmke01,lsu,2012
gearrco01,mercer,2007
geedi01,utarl,2005
geedi01,utarl,2006
geedi01,utarl,2007
geerjo01,txnavar,2003
geerjo01,txnavar,2004
geerjo01,rice,2005
gentrcr01,arkansas,2005
gentrcr01,arkansas,2006
getzch01,wake,2003
getzch01,michigan,2004
getzch01,michigan,2005
giarrto01,tulane,2001
giarrto01,tulane,2002
giarrto01,tulane,2003
giavojo01,norleans,2006
giavojo01,norleans,2007
giavojo01,norleans,2008
gibsoky01,missouri,2007
gibsoky01,missouri,2008
gibsoky01,missouri,2009
gillaco01,wichitast,2006
gillaco01,wichitast,2007
gillaco01,wichitast,2008
gilleco01,oregonst,2004
gilleco01,oregonst,2005
gilleco01,oregonst,2006
gimench01,nevada,2002
gimench01,nevada,2003
gimench01,nevada,2004
godfrgr01,charleston,2006
goinsry01,dallasbapt,2007
goinsry01,dallasbapt,2008
goinsry01,dallasbapt,2009
goldspa01,swtexas,2007
goldspa01,swtexas,2008
goldspa01,swtexas,2009
gomesbr01,tulane,2003
gomesbr01,tulane,2004
gomesbr01,tulane,2005
gomesbr01,tulane,2006
gomesjo01,casrjco,2001
gomesya01,tennessee,2007
gomesya01,tennessee,2008
gomesya01,flbarry,2009
gonzama02,gonzaga,2011
gonzama02,gonzaga,2012
gonzama02,gonzaga,2013
gordoal01,nebraska,2003
gordoal01,nebraska,2004
gordoal01,nebraska,2005
gorecre01,delaware,2002
gorzeto01,kansas,2002
gorzeto01,iltrito,2003
gosewtu01,arizonast,2002
gosewtu01,arizonast,2003
gosewtu01,arizonast,2004
gosewtu01,arizonast,2005
goslimi01,stanford,1999
goslimi01,stanford,2000
goslimi01,stanford,2001
gosseph01,virginia,2008
gosseph01,virginia,2009
gosseph01,virginia,2010
gotayru01,iaindia,2000
gotayru01,iaindia,2001
grahaty01,oregonst,2003
grahaty01,oregonst,2004
grahaty01,oregonst,2005
grahaty01,oregonst,2006
grandcu01,illchicago,2000
grandcu01,illchicago,2001
grandcu01,illchicago,2002
grandya01,miamifl,2008
grandya01,miamifl,2009
grandya01,miamifl,2010
graveke01,missst,2010
graveke01,missst,2011
graveke01,missst,2012
graveke01,missst,2013
grayje02,swmost,2001
grayje02,swmost,2002
grayje02,swmost,2003
grayje02,swmost,2004
grayso01,vandy,2009
