playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
sizemgr01,2007,CLE,AL,ALDS2,CF,4,4,111,8,0,0,0,0,,,
cabreme01,2007,NYA,AL,ALDS2,CF,4,4,110,14,2,0,0,0,,,
canoro01,2007,NYA,AL,ALDS2,2B,4,4,110,6,13,1,3,0,,,
chambjo03,2007,NYA,AL,ALDS2,P,2,0,11,0,1,0,0,0,,0,0
hugheph01,2007,NYA,AL,ALDS2,P,2,0,17,0,0,0,0,0,,0,0
ohlenro01,2007,NYA,AL,ALDS2,P,1,0,3,0,0,0,0,0,,1,0
sardibr01,2007,NYA,AL,ALDS2,LF,1,0,1,0,0,0,0,0,,,
verasjo01,2007,NYA,AL,ALDS2,P,2,0,2,0,0,0,0,0,,0,0
wangch01,2007,NYA,AL,ALDS2,P,2,2,17,0,2,0,0,0,,0,1
drewst01,2007,ARI,NL,NLCS,SS,4,4,108,2,6,0,1,0,,,
jacksco01,2007,ARI,NL,NLCS,1B,2,2,51,13,2,2,1,0,,,
montemi01,2007,ARI,NL,NLCS,C,1,1,24,6,0,0,0,0,0,0,0
nippedu01,2007,ARI,NL,NLCS,P,2,0,7,1,0,0,0,0,,0,0
owingmi01,2007,ARI,NL,NLCS,P,1,1,11,0,1,0,0,0,,0,0
penato03,2007,ARI,NL,NLCS,P,3,0,10,0,1,0,0,0,,0,0
reynoma01,2007,ARI,NL,NLCS,3B,4,4,108,4,8,1,0,0,,,
salazje01,2007,ARI,NL,NLCS,RF,2,2,42,4,0,0,0,0,,,
slatedo01,2007,ARI,NL,NLCS,P,3,0,4,0,0,0,0,0,,0,0
snydech02,2007,ARI,NL,NLCS,C,3,3,84,35,0,0,0,0,1,2,0
uptonju01,2007,ARI,NL,NLCS,RF,4,2,66,10,0,0,0,0,,,
youngch04,2007,ARI,NL,NLCS,CF,4,4,108,5,0,0,0,0,,,
corpama01,2007,COL,NL,NLCS,P,4,0,16,0,0,0,0,0,,0,0
francje01,2007,COL,NL,NLCS,P,1,1,20,0,0,0,0,0,,0,0
hollima01,2007,COL,NL,NLCS,LF,4,4,114,6,1,0,0,0,,,
jimenub01,2007,COL,NL,NLCS,P,1,1,15,0,0,0,0,0,,0,1
moralfr01,2007,COL,NL,NLCS,P,1,1,12,1,1,0,0,0,,0,1
taverwi01,2007,COL,NL,NLCS,CF,4,4,108,11,0,0,0,0,,,
tulowtr01,2007,COL,NL,NLCS,SS,4,4,114,7,14,0,3,0,,,
drewst01,2007,ARI,NL,NLDS1,SS,3,3,81,6,16,1,4,0,,,
jacksco01,2007,ARI,NL,NLDS1,1B,2,2,39,14,0,0,4,0,,,
montemi01,2007,ARI,NL,NLDS1,C,1,1,18,2,0,0,0,0,0,1,0
penato03,2007,ARI,NL,NLDS1,P,2,0,6,1,0,0,0,0,,0,0
reynoma01,2007,ARI,NL,NLDS1,3B,3,3,81,1,5,1,1,0,,,
salazje01,2007,ARI,NL,NLDS1,RF,2,1,36,5,0,0,0,0,,,
